url,total_requests,html_requests,css_requests,js_requests,image_requests,font_requests,video_requests,audio_requests,json_requests,other_requests,total_transfer_bytes,total_resource_bytes,total_bytes,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,video_bytes,audio_bytes,json_bytes,other_bytes,largest_resource_bytes,largest_resource_url,gzip_compressed_bytes,cacheable_bytes,third_party_requests,third_party_bytes,uses_http2,ttfb_ms_avg,ttfb_ms_min,ttfb_ms_max,extra_media_bytes,final_total_bytes,final_co2_grams,lighthouse_performance
https://www.etu.edu.tr/,131,7,5,35,55,4,6,0,14,5,228536895,228536895,228536895,167960,754593,2562081,10871496,118332,214023414,0,39019,0,50191739,https://www.etu.edu.tr/views/etu/_images/intro.webm,0,2865823,87,3651080,False,482.44622824909095,1.7648000502958894,3429.9572999589145,99059430,327596325,13.729403377510607,
https://www.gop.edu.tr/,221,2,24,43,140,11,0,0,1,0,5723357,5723357,5723357,421090,134225,370159,4419835,378048,0,0,0,0,420620,https://www.gop.edu.tr/,0,135617,3,136087,False,559.7881352949289,2.5747999316081405,1115.8826999599114,0,5723357,0.23986312095075848,
https://www.toros.edu.tr/,127,4,18,40,45,13,0,0,7,0,40754553,40754553,40754553,167204,853322,5889796,33452509,348320,0,0,43402,0,14729347,https://toros.edu.tr/storage/owl_carousels/sfme_2025_yeni_SFtJbMXvAC.jpg,0,1845983,126,40754553,False,769.1759456638393,52.6281000347808,2663.137499941513,0,40754553,1.708003585226834,
https://www.trabzon.edu.tr/,44,1,5,6,30,2,0,0,0,0,10560045,10560045,10560045,27645,1295092,265587,8777489,194232,0,0,0,0,1327619,https://www.trabzon.edu.tr/storage/2025/10/7/8ec79a72-2cf9-4c1e-838c-9e532893c61b.png,0,10560045,0,0,False,644.1722977297931,51.42220004927367,944.8412000201643,0,10560045,0.442566373385489,
https://www.trakya.edu.tr/,87,1,10,11,57,6,0,0,2,0,5802670,5802670,5802670,106686,785502,1117464,3465911,326000,0,0,1107,0,760312,https://www.trakya.edu.tr/files/anasayfa_kayan_resimler/320/1.webp,0,5802670,5,283001,False,195.57007586572792,15.924900071695447,541.5163999423385,0,5802670,0.24318709038197994,
https://www.thk.edu.tr/,190,7,46,39,83,5,0,0,10,0,293438646,293438646,293438646,3124062,1140179,2135997,286770781,267300,0,0,327,0,14716302,https://www.thk.edu.tr/images/articles/turk-hava-kurumu-universitesi-olarak-turasa-rayli-sistemler-fabrikasini-ziyaret-ettik_1419745722.jpg,0,2414540,74,2418578,False,4504.457649474621,6.534399930387735,25087.643000064418,0,293438646,12.297871587798,
https://www.tau.edu.tr/,78,2,11,11,47,6,0,0,1,0,13881323,13881323,13881323,308190,414514,722874,11789092,638752,0,0,7901,0,2801071,https://3fcampus.tau.edu.tr/uploads/blocks/main.tau/XjjMgNbc.png,0,13567650,48,11836405,False,286.9832487150024,25.20809997804463,936.8749000132084,0,13881323,0.5817595263943076,
https://www.tju.edu.tr/,71,4,5,11,47,3,0,0,1,0,4843453,4843453,4843453,27445,337739,593447,3796694,88128,0,0,0,0,597249,https://tju.edu.tr/Content/images/video_1.png,0,235530,70,4843308,False,354.08632676149915,13.678900082595646,535.0543000968173,0,4843453,0.20298677030950787,
https://www.ufuk.edu.tr/,88,2,9,9,58,5,2,0,3,0,23608374,23608374,23608374,104865,80475,350587,11072783,333052,11665905,0,707,0,11665905,https://download-video-ak.vimeocdn.com/v3-1/playback/be2abc26-7b17-4ab4-ac96-0bbbffff487d/6536f7a9-6ed429a8?__token__=st=1764934685~exp=1764938285~acl=%2Fv3-1%2Fplayback%2Fbe2abc26-7b17-4ab4-ac96-0bbbffff487d%2F6536f7a9-6ed429a8%2A~hmac=1864bc2483d0afb11c79782d84568470f3c7e694efff91878d7bdedb28f1482c&r=dXMtd2VzdDE%3D,0,23503380,40,12392616,False,948.9374613648662,22.303499979898334,2789.523800020106,0,23608374,0.9894155245274305,
https://www.usak.edu.tr/,175,8,14,40,93,7,1,0,12,0,22146559,22146559,22146559,530708,592120,3417407,9909227,1133356,6308237,0,255504,0,6308237,https://www.usak.edu.tr/UsersData/2022/vson.mp4,0,2803865,64,2891151,False,2947.8904760036885,5.528599955141544,7278.685699915513,6308237,28454796,1.1925267241895199,
https://uskudar.edu.tr/,155,4,10,80,27,5,0,0,29,0,25543741,25543741,25543741,395900,825460,5318019,8228857,89820,0,0,10685685,0,8524253,https://uskudar.edu.tr/api/v1/sitemap?locale=tr,0,6960276,77,11033285,False,214.04886143616844,0.18630002159625292,2154.12490000017,0,25441000,1.0662199929356575,
https://www.yyu.edu.tr/,123,8,12,29,54,11,0,0,9,0,15772392,15772392,15772392,341580,178157,2003819,12901479,346752,0,0,605,0,1436604,https://www.yyu.edu.tr/img/slider/Banner9.png,0,2527727,47,2528367,False,743.4693674757561,0.16339996363967657,2934.7142999758944,0,15772392,0.661013312637806,
https://www.yalova.edu.tr/,107,1,10,24,56,13,0,0,3,0,14977164,14977164,14977164,38254,139709,982449,13597311,218384,0,0,1057,0,1379880,https://www.yalova.edu.tr/Uploads/www/Slider/2026-oryantasyon.jpg,0,1719087,23,1719378,False,677.9609626196063,15.34929999615997,1319.0371999517083,0,14977164,0.6276856921613218,
https://www.yasar.edu.tr/,198,4,29,61,83,13,0,0,6,2,14782732,14782732,14782732,2805890,1071245,2749636,7777129,338064,0,0,40638,130,2804404,https://www.yasar.edu.tr/,0,11976959,29,909970,False,116.54243534701321,20.216200035065413,853.4681999590248,0,14782732,0.6195371411740781,
https://www.yeditepe.edu.tr/,89,3,41,33,9,2,1,0,0,0,84441833,84441833,84441833,185443,104512,272223,583930,66556,83229169,0,0,0,83229169,https://yeditepe.edu.tr/sites/default/files/2023-06/homepage.mp4,0,272724,88,84441516,False,163.86850567439316,28.539500082843006,1116.6518999962136,83229169,167671002,7.027010517194868,
https://www.yildiz.edu.tr/,239,1,53,53,79,3,42,0,7,1,20213482,20213482,20213482,119220,621956,1724604,4761778,100792,12763897,0,121235,0,1066907,https://cdn.tagbox.com/widget/1741763/2159925/439224/17889130986208993/AQMsUmY9g32lCuBR1veWIRzuTl97hTKHzj6aNSa5y4hhSwM_JQpNs0O8IDnmj5Him332o9XLuyabYC3B8Jjv0ws-UQb2sHetPC7mW-M_clips.mp4,0,15888010,83,14370873,False,167.13305773938302,1.230900059454143,1272.7007999783382,0,20213482,0.8471372444182635,
https://www.bozok.edu.tr/,128,2,20,17,73,9,0,0,6,1,13102814,13102814,13102814,175061,226657,1032916,11158912,499668,0,0,9600,0,3003715,https://www.bozok.edu.tr/Slider/0eafe7a6.png,0,1241833,47,1253981,False,605.4677945312505,13.308500056155026,3980.788700049743,48420920,61523734,2.5784299056977034,
https://www.beun.edu.tr/,95,2,8,4,71,8,0,0,2,0,76141283,76141283,76141283,310737,381603,179335,74758393,509748,0,0,1467,0,27719735,https://cdn3.beun.edu.tr//slayt/adsiz-2545-x-600-piksel-2_DfFFsMf.png,0,181798,94,76141105,False,2192.288042098823,72.68149999435991,5247.707300004549,0,76141283,3.19104430731386,
https://yuksekihtisasuniversitesi.edu.tr/,90,8,24,13,38,4,0,0,3,0,39477676,39477676,39477676,1621814,315916,575084,36809250,155612,0,0,0,0,19803918,https://yuksekihtisasuniversitesi.edu.tr/Uploads/haberler_view/06034952cad84831ee1e5847cbaf9229.png,0,37855093,29,901361,False,154.2752655546388,20.256099989637733,1648.8179999869317,0,39477676,1.6544902883470058,
https://www.nku.edu.tr/,67,1,4,10,48,1,1,0,2,0,3571549,3571549,3571549,19577,31713,312760,3072897,71896,62691,0,15,0,764018,https://www.nku.edu.tr/images/nkulogo100.gif,0,3119978,18,1905155,False,162.23272878613153,23.8385999109596,321.28440006636083,124314,3695863,0.1548918290063739,
https://www.ozal.edu.tr/,217,15,36,52,73,13,0,0,28,0,150703286,150703286,150703286,1321422,695942,5742696,142309217,632052,0,0,1957,0,18227252,https://www.ozal.edu.tr/images/news/1763629942.jpg,0,7675144,127,7679867,False,1734.6022506866793,0.1724000321701169,12226.68100008741,0,150703286,6.315901754423977,
https://www.klu.edu.tr/,139,5,20,21,83,10,0,0,0,0,12486171,12486171,12486171,136837,146521,974750,9447543,1780520,0,0,0,0,662022,https://www.klu.edu.tr/anadizin/icerikler/js/timeline/vis.min.js,0,12345608,8,260149,False,534.8818503578174,34.13160005584359,1553.2372000161558,0,12486171,0.5232893815264106,
https://www.issb.edu.tr/,134,2,44,50,16,8,0,0,13,1,6660976,6660976,6660976,100157,225854,1935151,4306348,83328,0,0,10138,0,1554562,https://www.issb.edu.tr/sites/default/files/2025-08/issb_slider-1-min.png,0,5882108,56,1681331,False,238.72862686663726,13.527900096960366,5356.139900046401,0,6660976,0.2791582792997361,
https://www.isikun.edu.tr/,136,3,6,69,33,17,1,0,3,4,22294537,22294537,22294537,121021,719788,2164892,5242100,199816,13846896,0,24,0,13846896,https://www.isikun.edu.tr/sites/default/files/2025-01/01_h.264.mp4,0,7677269,59,1674277,False,205.08532205456183,14.225699938833714,704.9319999059662,13846896,36141433,1.514669959433377,
https://gsu.edu.tr/,65,2,5,13,35,10,0,0,0,0,5642950,5642950,5642950,107317,732442,912247,2793672,1097272,0,0,0,0,595812,https://gsu.edu.tr/theme/js/plugins/plugins.min.js,0,0,0,0,False,151.316336929225,6.784299970604479,313.9701000181958,0,5642950,0.23649330250918865,
https://w3.agu.edu.tr/,98,2,12,25,52,4,0,0,2,1,31111335,31111335,31111335,123378,465992,948770,29356980,216192,0,0,23,0,3740521,https://w3.agu.edu.tr/media/1896/nNNfKk6pCQIOQiM9KpWIWX9GNVWnB1Lh3oenwHwx.jpg,0,750547,23,751991,False,533.090723459894,38.19850005675107,3057.609900017269,0,31111335,1.3038609875366092,
